"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-01","10.29","23","30","17","   20","  360","17.0","23.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-02","7.38","24","27","22","  360","   30","13.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-03","4.92","30","48","21","  350","  350","15.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-04","3.36","37","50","27","   40","   70","8.1","13.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-05","6.26","45","62","31","  160","  220","13.0","18.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-06","11.41","49","64","37","  150","  150","21.9","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-07","11.63","56","61","51","  170","  180","23.9","29.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-08","8.95","52","60","42","  320","   10","17.0","25.9","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-09","8.95","45","49","39","  140","  140","18.1","21.9","    1","    1",,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-10","15.21","49","59","46","  140","  140","23.9","28.0","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-11","17.90","52","63","31","  320","  320","32.0","45.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-12","13.65","32","43","23","  320","  350","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-13","8.50","36","46","28","   10","  350","16.1","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-14","9.17","40","55","31","  180","  190","16.1","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-15","12.75","45","56","29","   10","   20","31.1","38.9",,,,"    1",,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-16","15.43","27","29","18","   10","   10","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-17","3.58","23","36","15","  170","  360","8.1","12.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-18","7.38","31","46","21","  180","  170","15.0","19.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-19","12.30","44","54","37","  180","  190","21.0","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-20","15.66","59","71","51","  170","  180","25.9","31.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-21","14.09","66","74","60","  180","  190","25.1","32.0",,,"    1",,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-22","12.97","57","61","41","  310","  320","29.1","40.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-23","4.03","47","59","33","  360","   20","10.1","17.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-24","1.12","47","64","32","  140","  290","6.9","8.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-25","8.50","50","67","34","  160","  160","21.0","25.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-26","11.86","56","65","50","  160","  160","19.9","25.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-27","8.05","62","66","52","  350","   40","17.0","25.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-28","5.37","52","66","36","  310","   10","13.0","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-29","10.51","47","55","39","  350","   10","21.9","30.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-30","12.30","46","64","33","  170","  170","25.1","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-01-31","13.42","57","74","44","  180","  210","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-01","13.42","58","65","45","   30","   30","25.1","33.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-02","8.95","45","53","35","   20","   20","19.9","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-03","13.65","49","57","42","  170","  190","23.9","32.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-04","9.62","56","66","36","   10","  360","25.9","34.0","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-05","5.37","36","47","26","   10","   10","15.0","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-06","9.62","40","45","32","  360","  360","19.9","23.9","    1",,"    1",,,"    1","    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-07","10.29","36","49","30","  350","  350","21.0","27.1","    1",,,,,"    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-08","4.47","42","60","30","  160","  150","12.1","14.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-09","12.53","54","69","44","  170","  170","23.9","30.0",,,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-10","12.08","47","60","31","  330","  340","23.0","28.0","    1",,,,,"    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-11","11.86","32","42","27","   10","   20","21.0","25.9",,,,"    1",,"    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-12","8.50","35","47","28","  130","   60","15.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-13","6.26","42","46","39","  140","  140","21.0","23.9","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-14","10.74","52","76","44","  170","  150","21.0","25.9","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-15","13.42","69","79","64","  210","  190","21.9","33.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-16","11.63","62","70","46","   10","  350","25.1","33.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-17","6.04","50","65","42","  320","  320","19.9","25.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-18","9.62","53","63","46","  150","  150","28.0","33.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-19","18.12","69","78","63","  170","  180","29.1","36.9",,,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-20","16.11","69","72","39","  330","  320","30.0","36.9","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-21","14.32","38","39","34","  360","  350","23.0","30.0","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-22","6.93","36","41","34","  360","  360","15.0","19.0","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-23","4.92","44","52","39","  110","  100","13.0","15.0","    1","    1","    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-24","6.71","52","63","47","  130","  310","21.9","30.0","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-25","5.82","54","67","42","  160","  170","16.1","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-26","6.71","55","68","43","  140","  120","14.1","17.0","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-27","10.51","58","65","52","  140","  130","18.1","21.9","    1","    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-02-28","8.50","66","70","60","  340","  350","32.0","42.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-01","9.62","60","63","51","  350","   10","21.9","30.0","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-02","6.71","56","70","43","  130","  130","14.1","19.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-03","12.30","62","74","51","  160","  150","21.9","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-04","13.42","67","72","62","  150","  150","25.1","32.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-05","12.30","70","73","53","  350","  330","25.9","35.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-06","10.51","56","68","40","  330","  320","25.9","38.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-07","8.28","51","60","41","   10","  360","19.9","25.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-08","9.84","54","70","42","  170","  180","19.9","25.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-09","15.43","62","75","51","  180","  220","25.1","33.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-10","8.28","71","84","63","  180","  190","16.1","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-11","17.00","67","71","50","   10","   30","32.0","42.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-12","8.05","52","63","41","  360","  360","17.0","23.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-13","6.49","53","65","44","   10","   20","18.1","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-14","5.59","55","69","39","  160","  170","14.1","17.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-15","17.22","63","77","51","  170","  170","30.0","36.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-16","11.41","72","86","65","  230","  190","21.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-17","5.14","69","80","53","  130","  130","21.0","25.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-18","8.28","66","79","60","  130","  110","23.9","30.0","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-19","14.54","68","74","52","  310","  320","25.9","35.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-20","10.29","55","67","45","  310","  350","19.9","29.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-21","5.82","59","73","45","  120","  110","14.1","19.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-22","15.43","66","80","53","  170","  160","30.0","35.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-23","17.22","68","77","62","  170","  180","28.0","36.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-24","8.28","75","87","66","  210","  180","17.0","25.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-25","12.75","72","76","64","  150","  140","21.0","25.9","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-26","16.55","75","86","68","  170","  160","25.9","35.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-27","9.40","70","73","59","   90","  100","23.9","30.0","    1",,"    1",,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-28","5.14","62","67","57","  120","  130","19.9","25.9","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-29","7.16","62","75","56","  350","  340","21.0","25.9","    1","    1",,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-30","7.38","61","73","50","  130","   40","14.1","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-03-31","15.66","66","79","55","  160","  170","25.9","32.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-01","12.53","68","74","45","  360","  350","19.9","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-02","7.83","47","64","42","  160","  170","19.9","25.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-03","16.33","69","82","52","  340","  350","30.0","36.9","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-04","8.95","55","64","44","   50","   20","17.0","23.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-05","15.43","60","75","50","  160","  160","23.9","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-06","14.09","74","86","51","   10","   20","29.1","36.9",,,"    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-07","14.54","47","51","35","  360","   10","25.1","34.0","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-08","6.93","44","57","36","  170","  170","16.1","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-09","6.26","56","72","45","   30","   40","17.0","21.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-10","7.16","62","73","48","   40","   30","14.1","18.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-11","14.54","66","81","52","  180","  190","25.9","34.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-12","21.03","72","84","63","  180","  180","31.1","42.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-13","18.34","76","87","67","  170","  160","36.9","42.1",,,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-14","19.01","60","67","47","  310","  310","30.0","40.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-15","13.42","51","65","39","  330","  350","25.1","36.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-16","10.51","60","82","42","  180","  190","23.9","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-17","17.45","72","86","60","  190","  200","31.1","38.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-18","12.53","73","79","56","  350","  330","23.9","32.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-19","9.62","63","73","51","   40","   20","18.1","27.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-20","13.87","60","71","51","  110","  110","23.0","30.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-21","12.75","61","66","54","  140","  140","28.0","34.0","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-22","13.20","59","70","53","  310","  350","21.9","28.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-23","8.28","63","77","52","  350","  360","18.1","25.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-24","3.80",,"85","56","  110","  120","12.1","15.0",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-25","10.07","65","73","50","  350","  350","23.9","31.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-26","6.26","57","74","46","  120","  350","17.0","21.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-27","5.82","69","81","57","  310","  300","15.0","19.9",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-28","3.80","70","85","52","  130","  120","13.0","16.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-29","11.18","75","86","62","  150","  140","23.9","31.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-04-30","15.43","73","83","62","  160","  140","25.1","33.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-01","19.01","75","81","69","  150","  150","28.0","35.1",,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-02","17.22","77","87","73","  160","  160","31.1","38.9","    1",,,,,,"    1"
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-03","14.32","76","78","66","  270","  260","36.0","52.1","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-04","6.71","71","74","64","  140","  320","18.1","23.9","    1",,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-05","6.26","71","84","60","   10","  330","19.9","25.1","    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-06",,"74","90","59",,,,,"    1",,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-07",,"79","94","63",,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","32.8519","-96.8555","134.1","2018-05-08",,"83",,,,,,,,,,,,,
